width,height,area,success,coverage,stepsUsed,ratio
263,1,263,true,263,518,1.9695817490494296
1,264,264,true,264,533,2.018939393939394
264,1,264,true,264,519,1.9659090909090908
1,265,265,true,265,534,2.0150943396226415
265,1,265,true,265,520,1.9622641509433962
1,266,266,true,266,535,2.011278195488722
266,1,266,true,266,521,1.9586466165413534
1,267,267,true,267,536,2.00749063670412
267,1,267,true,267,522,1.9550561797752808
1,268,268,true,268,537,2.003731343283582
268,1,268,true,268,523,1.9514925373134329
1,269,269,true,269,538,2.0
269,1,269,true,269,524,1.9479553903345725
1,270,270,true,270,539,1.9962962962962962
270,1,270,true,270,525,1.9444444444444444
1,271,271,true,271,540,1.992619926199262
271,1,271,true,271,527,1.944649446494465
1,272,272,true,272,546,2.0073529411764706
272,1,272,true,272,541,1.9889705882352942
1,273,273,true,273,548,2.0073260073260073
273,1,273,true,273,542,1.9853479853479854
1,274,274,true,274,549,2.0036496350364965
274,1,274,true,274,543,1.9817518248175183
1,275,275,true,275,550,2.0
275,1,275,true,275,544,1.9781818181818183
1,276,276,true,276,551,1.9963768115942029
276,1,276,true,276,545,1.9746376811594204
1,277,277,true,277,552,1.9927797833935017
277,1,277,true,277,547,1.9747292418772564
1,278,278,true,278,570,2.050359712230216
278,1,278,true,278,553,1.9892086330935252
1,279,279,true,279,572,2.050179211469534
279,1,279,true,279,554,1.985663082437276
1,280,280,true,280,573,2.0464285714285713
280,1,280,true,280,555,1.9821428571428572
1,281,281,true,281,574,2.0427046263345194
281,1,281,true,281,556,1.9786476868327403
1,282,282,true,282,575,2.0390070921985815
282,1,282,true,282,557,1.975177304964539
1,283,283,true,283,576,2.035335689045936
283,1,283,true,283,558,1.971731448763251
1,284,284,true,284,577,2.0316901408450705
284,1,284,true,284,559,1.9683098591549295
1,285,285,true,285,578,2.0280701754385966
285,1,285,true,285,560,1.9649122807017543
1,286,286,true,286,579,2.0244755244755246
286,1,286,true,286,561,1.9615384615384615
1,287,287,true,287,580,2.0209059233449476
287,1,287,true,287,562,1.9581881533101044
1,288,288,true,288,581,2.017361111111111
288,1,288,true,288,563,1.9548611111111112
1,289,289,true,289,582,2.013840830449827
289,1,289,true,289,564,1.9515570934256055
1,290,290,true,290,583,2.010344827586207
290,1,290,true,290,565,1.9482758620689655
1,291,291,true,291,584,2.006872852233677
291,1,291,true,291,566,1.9450171821305842
1,292,292,true,292,585,2.0034246575342465
292,1,292,true,292,567,1.9417808219178083
1,293,293,true,293,586,2.0
293,1,293,true,293,568,1.9385665529010239
1,294,294,true,294,587,1.9965986394557824
294,1,294,true,294,569,1.935374149659864
1,295,295,true,295,588,1.993220338983051
295,1,295,true,295,571,1.935593220338983
1,296,296,true,296,608,2.054054054054054
296,1,296,true,296,589,1.989864864864865
1,297,297,true,297,610,2.053872053872054
297,1,297,true,297,590,1.9865319865319866
1,298,298,true,298,611,2.0503355704697985
298,1,298,true,298,591,1.983221476510067
1,299,299,true,299,612,2.0468227424749164
299,1,299,true,299,592,1.979933110367893
1,300,300,true,300,613,2.0433333333333334
300,1,300,true,300,593,1.9766666666666666
1,301,301,true,301,614,2.0398671096345513
301,1,301,true,301,594,1.973421926910299
1,302,302,true,302,615,2.0364238410596025
302,1,302,true,302,595,1.9701986754966887
1,303,303,true,303,616,2.033003300330033
303,1,303,true,303,596,1.966996699669967
1,304,304,true,304,617,2.0296052631578947
304,1,304,true,304,597,1.9638157894736843
1,305,305,true,305,618,2.0262295081967214
305,1,305,true,305,598,1.960655737704918
1,306,306,true,306,619,2.022875816993464
306,1,306,true,306,599,1.957516339869281
1,307,307,true,307,620,2.019543973941368
307,1,307,true,307,600,1.9543973941368078
