width,height,area,success,coverage,stepsUsed,ratio
298,1,298,true,298,322,1.080536912751678
1,299,299,true,299,4350,14.548494983277592
299,1,299,true,299,323,1.080267558528428
1,300,300,true,300,4382,14.606666666666667
300,1,300,true,300,324,1.08
1,301,301,true,301,4420,14.684385382059801
301,1,301,true,301,325,1.079734219269103
1,302,302,true,302,4422,14.642384105960264
302,1,302,true,302,326,1.0794701986754967
1,303,303,true,303,4425,14.603960396039604
303,1,303,true,303,327,1.0792079207920793
1,304,304,true,304,4429,14.569078947368421
304,1,304,true,304,328,1.0789473684210527
1,305,305,true,305,4435,14.540983606557377
305,1,305,true,305,329,1.0786885245901638
1,306,306,true,306,4443,14.519607843137255
306,1,306,true,306,330,1.0784313725490196
1,307,307,true,307,4455,14.511400651465799
307,1,307,true,307,331,1.0781758957654723
1,308,308,true,308,4469,14.50974025974026
308,1,308,true,308,332,1.077922077922078
1,309,309,true,309,4475,14.482200647249192
309,1,309,true,309,333,1.0776699029126213
1,310,310,true,310,4493,14.493548387096775
310,1,310,true,310,334,1.0774193548387097
1,311,311,true,311,4513,14.511254019292604
311,1,311,true,311,335,1.0771704180064308
1,312,312,true,312,4537,14.541666666666666
312,1,312,true,312,336,1.0769230769230769
1,313,313,true,313,4541,14.507987220447284
313,1,313,true,313,337,1.0766773162939298
1,314,314,true,314,4571,14.55732484076433
314,1,314,true,314,339,1.0796178343949046
1,315,315,true,315,4603,14.612698412698412
315,1,315,true,315,340,1.0793650793650793
1,316,316,true,316,4641,14.686708860759493
316,1,316,true,316,341,1.0791139240506329
1,317,317,true,317,4643,14.646687697160884
317,1,317,true,317,343,1.0820189274447949
1,318,318,true,318,4646,14.61006289308176
318,1,318,true,318,344,1.0817610062893082
1,319,319,true,319,4650,14.576802507836991
319,1,319,true,319,345,1.0815047021943573
1,320,320,true,320,4656,14.55
320,1,320,true,320,346,1.08125
1,321,321,true,321,4664,14.529595015576325
321,1,321,true,321,347,1.0809968847352025
1,322,322,true,322,4676,14.521739130434783
322,1,322,true,322,348,1.0807453416149069
1,323,323,true,323,4690,14.520123839009289
323,1,323,true,323,349,1.0804953560371517
1,324,324,true,324,4696,14.493827160493828
324,1,324,true,324,350,1.0802469135802468
1,325,325,true,325,4714,14.504615384615384
325,1,325,true,325,351,1.08
1,326,326,true,326,4734,14.521472392638037
326,1,326,true,326,352,1.0797546012269938
1,327,327,true,327,4758,14.55045871559633
327,1,327,true,327,353,1.0795107033639144
1,328,328,true,328,4762,14.518292682926829
328,1,328,true,328,354,1.079268292682927
1,329,329,true,329,4792,14.565349544072948
329,1,329,true,329,355,1.0790273556231003
1,330,330,true,330,4824,14.618181818181819
330,1,330,true,330,356,1.0787878787878789
1,331,331,true,331,4862,14.688821752265861
331,1,331,true,331,357,1.0785498489425982
1,332,332,true,332,4864,14.650602409638553
332,1,332,true,332,358,1.0783132530120483
1,333,333,true,333,4867,14.615615615615615
333,1,333,true,333,359,1.078078078078078
1,334,334,true,334,4871,14.583832335329342
334,1,334,true,334,360,1.0778443113772456
1,335,335,true,335,4877,14.558208955223881
335,1,335,true,335,361,1.0776119402985074
1,336,336,true,336,4885,14.538690476190476
336,1,336,true,336,362,1.0773809523809523
1,337,337,true,337,4897,14.531157270029674
337,1,337,true,337,363,1.0771513353115727
1,338,338,true,338,4911,14.529585798816568
338,1,338,true,338,364,1.0769230769230769
1,339,339,true,339,4917,14.504424778761061
339,1,339,true,339,365,1.0766961651917404
1,340,340,true,340,4935,14.514705882352942
340,1,340,true,340,366,1.076470588235294
1,341,341,true,341,4955,14.530791788856305
